ID,Published_Grey,if_grey_Published,Author,YearPublication,Language,Title,Journal_Unpub,Volume_Pages,GoogleScholar,CAPES,Extra,is_seabird,MicroPlastic,YearSampleStart,YearSampleEnd,MonthsSampled,Lat,Long,BrazilianRegion1,BrazilianRegion2,BrazilianState1,BrazilianState2,BrazilianState3,MainSampledEnvironment,BrazilianBiome,MainBirdGroup,StudyAim,BirdCondition,SampleSize,NumOrders,NumFamilies,NumSpecies,Interaction,IngestionTechnique,CategorizationDebris,DataAnalysis,Model,O,FO,N,FN,M,S,V,Col,Pol,Men,Obs
18,published,NA,Naves & Vooren,2006,en,Diet of Black Skimmers in southern Brazil,Waterbirds,29:335-344,0,0,1,no,0,1997,1998,12,-32.13,-52.08,south,NA,RS,NA,NA,estuary_sea,coastalMarine,coastal_oceanic,stomachContent_diet,alive,489,1,1,1,ingestion,pellet_faeces,0,FO,0,0,1,0,0,0,0,0,0,0,0,SampleSize = total number of pellets plus faeces samples.
19,published,NA,Colabuono & Vooren,2007,en,Diet of Black-browed Thalassarche melanophrys and Atlantic Yellow-nosed T. chlororhynchos albatrosses and White-chinned Procellaria aequinoctialis and Spectacled P. conspicillata petrels off souther Brazil,Marine Ornithology,35:9-20,1,NA,NA,yes,0,1994,2004,120,-32.49,-50.99,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,stomachContent_diet,dead,126,1,2,4,ingestion,stomachContent,1,FO_N,0,0,1,1,0,0,0,0,0,0,0,
20,published,NA,Petry et al.,2007,en,"Analysis of stomach contents from the Black-browed Albatross, Thalassarche melanophris, on the coast of Rio Grande do Sul, southern Brazil",Polar Biology,30:321-325,1,NA,NA,yes,0,1997,1998,13,-30.76,-50.52,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,stomachContent_diet,dead,35,1,1,1,ingestion,stomachContent,1,FO_N,0,0,1,1,0,0,0,0,0,0,0,
21,published,NA,Pinto et al.,2007,en,Stomach contents of the Magellanic Penguin Spheniscus magellanicus from the northern distribution limit on the Atlantic coast of Brazil,Marine Ornithology,35:77-78,1,NA,NA,yes,0,2000,NA,1,-23,-41.83,southeast,NA,RJ,NA,NA,sea,coastalMarine,coastal,stomachContent_diet,dead,40,1,1,1,ingestion,stomachContent,1,FO_N,0,0,1,1,0,0,0,0,0,0,0,
22,published,NA,Petry et al.,2008,en,"Shearwater diet during migration along the coast of Rio Grande do Sul, Brazil",Marine Biology,154:613-621,1,NA,NA,yes,0,1997,1998,13,-30.76,-50.52,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,stomachContent_diet,dead,163,1,1,3,ingestion,stomachContent,1,FO,0,0,1,0,0,0,0,0,0,0,0,
23,published,NA,Barbieri,2009,en,"Occurrence of plastic particles in Procellariiformes, south of Sao Paulo State (Brazil)",Brazilian Archives of Biology and Technology,52:341-348,1,NA,NA,yes,0,2000,2002,24,-24.85,-47.7,southeast,NA,SP,NA,NA,sea,coastalMarine,oceanic,plasticInteraction,dead,110,1,2,10,ingestion,stomachContent,1,FO_N_S_Col,0,0,1,1,0,0,1,0,1,0,0,"The author presented the DataAnalysis (N, Col, S), based on the 'total amount' for the 10 species---not separated by species."
24,published,NA,Barbosa-Filho & Vooren,2009,pt,Monitoramento da avifauna,Book chapter – in Viana et al. (orgs.),p. 261-268,0,0,1,yes,0,1998,2004,19,0.9,-29.34,northeast,NA,PE,NA,NA,sea,coastalMarine,oceanic,breeding,alive,NA,2,2,3,nest,NA,0,Men,0,0,0,0,0,0,0,0,0,0,1,
25,published,NA,Colabuono et al.,2009,en,Plastic ingestion by Procellariiformes in southern Brazil,Marine Pollution Bulletin,58:93-96,1,NA,NA,yes,0,1994,2005,144,-31.34,-51.02,south,NA,RS,SC,NA,sea,coastalMarine,oceanic,plasticInteraction,dead,193,1,2,8,ingestion,stomachContent,1,FO_FN,0,0,1,0,1,0,0,0,0,0,0,"Latitude and Longitude placed besides the PARNA Lagoa do Peixe, as a mid-point between 29° and 33°S  mentioned by the authors; as they did not mention locations of the bycatch specimens we just considered the coastline. The authors presented the DataAnalysis per cavities of the gastrointestinal tract."
26,published,NA,Luigi et al.,2009,pt,"Biologia e conservacao do Petrel-de-Trindade Pterodroma arminjoniana (Aves: Procellariidae) na Ilha da Trindade, Atlantico sul, Brasil",Book chapter – in Mohr et al. (orgs.),"Chapter 9, p. 223-264",0,0,1,yes,0,1987,2006,31,-20.5,-29.32,southeast,NA,ES,NA,NA,sea,coastalMarine,oceanic,naturalHistory,alive_dead,99,1,1,1,ingestion,stomachContent,0,FO_Men,0,0,1,0,0,0,0,0,0,0,1,"SampleSize = number of stomach contents analysed. Altough authors mention ‘nylon of various colors’ and ‘plastic pieces of c. 2x1mm’ size, these information are incomplete, lacking tangible numbers, and therefore we considered it as a “Mention”. However, we did consider as if they had presented “FO”, because they give the raw numbers within the text (29 / 99 = 29.3%)."
27,published,NA,Petry et al.,2009,en,Diet and ingestion of synthetics by Cory’s Shearwater Calonectris diomedea off southern Brazil,Journal of Ornithology,150:601-606,1,NA,NA,yes,0,1997,1998,13,-30.76,-50.52,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,stomachContent_diet,dead,185,1,1,1,ingestion,stomachContent,1,FO,0,0,1,0,0,0,0,0,0,0,0,
28,published,NA,Colabuono et al.,2010,en,Polychlorinated biphenyls and organochlorine pesticides in plastics ingested by seabirds,Marine Pollution Bulletin,60:630-634,1,NA,NA,yes,1,1991,2008,204,-31.34,-51.02,south,NA,RS,SC,NA,sea,coastalMarine,oceanic,humanInteractions,dead,94,1,2,8,ingestion,stomachContent,1,FO_FN_M_S,0,0,1,0,1,1,1,0,0,0,0,"Latitude and Longitude placed besides the PARNA Lagoa do Peixe, as a mid-point between 29° and 33°S  mentioned by the authors; as they did not mention locations of the bycatch specimens we just considered the coastline.  MonthsSampled = number of years*12. As authors mention the range from Size and Mass, we consider them as valuable information. Article based on the chapter 3 of F.I. Colabuono’ PhD thesis."
28a,extra_latlon_pub,NA,Colabuono et al.,2010,NA,Polychlorinated biphenyls and organochlorine pesticides in plastics ingested by seabirds,Marine Pollution Bulletin,60:630-634,NA,NA,NA,NA,NA,NA,NA,NA,-31.76,-48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ID 28a is only used for mapping purposes. The paper information is in the line above (ID 28). 
29,published,NA,Petry et al.,2010,pt,"Notas sobre a ocorrencia e dieta de Macronectes giganteus (Procellariiformes: Procellariidae) no Rio Grande do Sul, Brasil",Revista Brasileira de Ornitologia,18:237-239,0,0,1,yes,0,1990,2009,31,-30.76,-50.52,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,stomachContent_diet,dead,8,1,1,1,ingestion,stomachContent,1,FO_N,0,0,1,1,0,0,0,0,0,0,0,"MonthsSampled = 31, accounting for 31 beach surveys (authors did not mention the periodicity of surveys); SampleSize = just the dead birds necropsied. Altough the authors present the ‘maximum size’ of fragments, Size was not included in our criteria, as they do not present ‘range’ or some other measurent of variability."
30,published,NA,Tourinho et al.,2010,en,Is marine debris ingestion still a problem for the coastal marine biota of southern Brazil,Marine Pollution Bulletin,60:396-401,1,NA,NA,yes,0,1994,2007,154,-32.13,-52.08,south,NA,RS,NA,NA,sea,coastalMarine,coastal_oceanic,plasticInteraction,dead,35,3,5,13,ingestion,stomachContent,1,O_FO_N_Col,0,1,1,1,0,0,0,0,1,0,0,"Authors presented the DataAnalysis(Col), based on the total amount of itens per colour, and not separated by species. We have located their study area centroid in the mouth of the Lagoa dos Patos."
